Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,District,Municipal
3,T SWETHA,IND,90,,Jogallamba,Gadwal
"WARD Name : 21 , Reserved for : UR(G), Total Voters in Municipality Ward : 1666 , Total Vaild Votes : 1105 , Rejected Votes : 10 , NOTA Votes : 2",,,,,Jogallamba,Gadwal
1,P VENKATESH,BJP,520,,Jogallamba,Gadwal
2,P. NAGI REDDY,TRS,583,Elected,Jogallamba,Gadwal
3,P. Raja Reddy,IND,1,,Jogallamba,Gadwal
4,P NAGESH,IND,1,,Jogallamba,Gadwal
"WARD Name : 22 , Reserved for : BC(G), Total Voters in Municipality Ward : 1549 , Total Vaild Votes : 1211 , Rejected Votes : 1 , NOTA Votes : 0",,,,,Jogallamba,Gadwal
1,T. BHASKAR YADAV,BJP,365,,Jogallamba,Gadwal
2,ASHWINI K,INC,11,,Jogallamba,Gadwal
3,BHASKAR,IND,409,,Jogallamba,Gadwal
4,M. Nagaraju,TRS,424,Elected,Jogallamba,Gadwal
5,Chinna Thimmanna,IND,2,,Jogallamba,Gadwal
"WARD Name : 23 , Reserved for : BC(W), Total Voters in Municipality Ward : 1535 , Total Vaild Votes : 1196 , Rejected Votes : 15 , NOTA Votes : 2",,,,,Jogallamba,Gadwal
1,T. ANITHA KUMARI,BJP,827,Elected,Jogallamba,Gadwal
2,T.G.Padmavathi,INC,12,,Jogallamba,Gadwal
3,Shivamma Telugu,TRS,357,,Jogallamba,Gadwal
"WARD Name : 24 , Reserved for : BC(G), Total Voters in Municipality Ward : 1510 , Total Vaild Votes : 1130 , Rejected Votes : 18 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,T. SRINIVASULU,TRS,522,Elected,Jogallamba,Gadwal
2,GOPAL,IND,388,,Jogallamba,Gadwal
3,G.Mohan T,INC,161,,Jogallamba,Gadwal
4,L.Prabhakar,BJP,53,,Jogallamba,Gadwal
5,T.G.Raju,IND,6,,Jogallamba,Gadwal
"WARD Name : 25 , Reserved for : SC(G), Total Voters in Municipality Ward : 1632 , Total Vaild Votes : 1303 , Rejected Votes : 21 , NOTA Votes : 6",,,,,Jogallamba,Gadwal
1,G MAHESH KUMAR,TRS,795,Elected,Jogallamba,Gadwal
2,BALAMMA,IND,6,,Jogallamba,Gadwal
3,CHANDRA SHEKARA,BJP,435,,Jogallamba,Gadwal
4,D MANYAM,IND,41,,Jogallamba,Gadwal
5,Akepogu Alexandar,INC,20,,Jogallamba,Gadwal
6,D PEDDA LAXMANNA,IND,6,,Jogallamba,Gadwal
"WARD Name : 26 , Reserved for : BC(W), Total Voters in Municipality Ward : 1595 , Total Vaild Votes : 1221 , Rejected Votes : 24 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,LAXMI KORI,TRS,596,Elected,Jogallamba,Gadwal
2,REHANA BEGUM,INC,88,,Jogallamba,Gadwal
3,P RENUKHA,BJP,537,,Jogallamba,Gadwal
"WARD Name : 27 , Reserved for : UR(G), Total Voters in Municipality Ward : 1541 , Total Vaild Votes : 1201 , Rejected Votes : 24 , NOTA Votes : 3",,,,,Jogallamba,Gadwal
1,T. SRINIVASULU,BJP,457,,Jogallamba,Gadwal
2,N.B Murali,TRS,744,Elected,Jogallamba,Gadwal
"WARD Name : 28 , Reserved for : BC(G), Total Voters in Municipality Ward : 1541 , Total Vaild Votes : 1060 , Rejected Votes : 18 , NOTA Votes : 3",,,,,Jogallamba,Gadwal
1,B S KESHAV,TRS,853,Elected,Jogallamba,Gadwal
2,KOTLA NAGARAJU,BJP,207,,Jogallamba,Gadwal
"WARD Name : 29 , Reserved for : UR(W), Total Voters in Municipality Ward : 1735 , Total Vaild Votes : 1196 , Rejected Votes : 12 , NOTA Votes : 15",,,,,Jogallamba,Gadwal
1,M NAFEES BEGUM,INC,83,,Jogallamba,Gadwal
2,Aruna Naike,IND,580,Elected,Jogallamba,Gadwal
3,LAXMI DEVI,BJP,373,,Jogallamba,Gadwal
4,G ANITHA,TRS,160,,Jogallamba,Gadwal
"WARD Name : 30 , Reserved for : ST(G), Total Voters in Municipality Ward : 1655 , Total Vaild Votes : 1080 , Rejected Votes : 20 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,Y SRI RAMULU,BJP,569,Elected,Jogallamba,Gadwal
2,VIJAYA BHARATHI,TRS,463,,Jogallamba,Gadwal
3,VENKATESH,INC,46,,Jogallamba,Gadwal
4,JAMANNA,IND,2,,Jogallamba,Gadwal
"WARD Name : 31 , Reserved for : UR(G), Total Voters in Municipality Ward : 1530 , Total Vaild Votes : 937 , Rejected Votes : 15 , NOTA Votes : 5",,,,,Jogallamba,Gadwal
1,NEMALLIKANTI RAMANJANEYULU,BJP,401,,Jogallamba,Gadwal
2,M MOHAN KUMAR,IND,100,,Jogallamba,Gadwal
3,C.Beesanna,INC,20,,Jogallamba,Gadwal
4,Srinivasulu Narahari,TRS,416,Elected,Jogallamba,Gadwal
"WARD Name : 32 , Reserved for : BC(G), Total Voters in Municipality Ward : 1562 , Total Vaild Votes : 1213 , Rejected Votes : 14 , NOTA Votes : 11",,,,,Jogallamba,Gadwal
1,NARSIMHULU,BJP,316,,Jogallamba,Gadwal
2,Krishna,IND,532,Elected,Jogallamba,Gadwal
3,Radha,INC,14,,Jogallamba,Gadwal
4,N Dharma Naidu,TRS,351,,Jogallamba,Gadwal
"WARD Name : 33 , Reserved for : UR(W), Total Voters in Municipality Ward : 1697 , Total Vaild Votes : 1230 , Rejected Votes : 19 , NOTA Votes : 9",,,,,Jogallamba,Gadwal
1,THUMALAVENKATAMMA,IND,315,,Jogallamba,Gadwal
2,GUDIKADI LAVANYA MANJULA,TRS,177,,Jogallamba,Gadwal
3,G PADMAVATHI,BJP,604,Elected,Jogallamba,Gadwal
4,JAYAMMA,IND,134,,Jogallamba,Gadwal
"WARD Name : 34 , Reserved for : UR(G), Total Voters in Municipality Ward : 1625 , Total Vaild Votes : 1230 , Rejected Votes : 20 , NOTA Votes : 10",,,,,Jogallamba,Gadwal
1,ANWAR PASHA,TRS,369,,Jogallamba,Gadwal
2,G NAGENDRA YADAV,BJP,321,,Jogallamba,Gadwal
3,G. PANDU,IND,540,Elected,Jogallamba,Gadwal
"WARD Name : 35 , Reserved for : BC(G), Total Voters in Municipality Ward : 1687 , Total Vaild Votes : 1284 , Rejected Votes : 15 , NOTA Votes : 12",,,,,Jogallamba,Gadwal
1,BHARATHI,BJP,70,,Jogallamba,Gadwal
2,MOHAMMAD BABAR,TRS,915,Elected,Jogallamba,Gadwal
3,KHAJA AHAMAD,AIMIM,73,,Jogallamba,Gadwal
4,T. UMA,INC,226,,Jogallamba,Gadwal
"WARD Name : 36 , Reserved for : BC(W), Total Voters in Municipality Ward : 1631 , Total Vaild Votes : 1298 , Rejected Votes : 18 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,JAYASRI,BJP,665,Elected,Jogallamba,Gadwal
2,V. PADMAVATHI,TRS,621,,Jogallamba,Gadwal
3,B PARVATHAMMA,TDP,12,,Jogallamba,Gadwal
"WARD Name : 37 , Reserved for : UR(W), Total Voters in Municipality Ward : 1652 , Total Vaild Votes : 1179 , Rejected Votes : 10 , NOTA Votes : 8",,,,,Jogallamba,Gadwal
1,ANJUM ARA,IND,23,,Jogallamba,Gadwal
2,BHARATHI,INC,206,,Jogallamba,Gadwal
3,RAJOLI MANJULA,BJP,364,,Jogallamba,Gadwal
4,SWETHA BUKKA,TRS,586,Elected,Jogallamba,Gadwal
"WARD Name : 1 , Reserved for : SC(W), Total Voters in Municipality Ward : 903 , Total Vaild Votes : 675 , Rejected Votes : 16 , NOTA Votes : 2",,,,,Jogallamba,Alampur
1,S PUSHPALATHA,INC,329,Elected,Jogallamba,Alampur
2,SHALAMMA,TRS,257,,Jogallamba,Alampur
3,SULOCHANA,AIFB,79,,Jogallamba,Alampur
4,MAHESWARI,IND,10,,Jogallamba,Alampur
"WARD Name : 2 , Reserved for : SC(G), Total Voters in Municipality Ward : 899 , Total Vaild Votes : 799 , Rejected Votes : 13 , NOTA Votes : 1",,,,,Jogallamba,Alampur
1,G PEDDA BABU,CPI,14,,Jogallamba,Alampur
2,S MANORAMA,TRS,354,Elected,Jogallamba,Alampur
3,G RAJU,CPM,141,,Jogallamba,Alampur
4,RAJYA LAXMI,AIFB,130,,Jogallamba,Alampur
5,RAMAKRISHNA,TDP,3,,Jogallamba,Alampur
6,SRIDHAR VALTHATI,BJP,15,,Jogallamba,Alampur
7,DEVARAPOGU RANEMMA,IND,3,,Jogallamba,Alampur
8,NAYAKALLU VARALU,IND,139,,Jogallamba,Alampur
"WARD Name : 3 , Reserved for : UR(W), Total Voters in Municipality Ward : 944 , Total Vaild Votes : 687 , Rejected Votes : 12 , NOTA Votes : 1",,,,,Jogallamba,Alampur
1,JAYALAXMI,TRS,288,Elected,Jogallamba,Alampur
2,JANGAM AKKAMMA,BJP,51,,Jogallamba,Alampur
3,DEVA SHASHI REKHA,AIFB,83,,Jogallamba,Alampur
4,NAGAVENI MODDI,INC,265,,Jogallamba,Alampur
"WARD Name : 4 , Reserved for : UR(G), Total Voters in Municipality Ward : 925 , Total Vaild Votes : 753 , Rejected Votes : 12 , NOTA Votes : 1",,,,,Jogallamba,Alampur
1,IMTIYAZ ALI,INC,327,Elected,Jogallamba,Alampur
2,GUMDIMALLA VINEET KUMAR,BJP,9,,Jogallamba,Alampur
3,MAQBOOL BASHA,AIMIM,12,,Jogallamba,Alampur
4,T MADDILETI,TRS,188,,Jogallamba,Alampur
5,G VENKATESWARLU,AIFB,47,,Jogallamba,Alampur
6,IMRAN AHMED,IND,97,,Jogallamba,Alampur
7,KRISHNA,IND,73,,Jogallamba,Alampur
"WARD Name : 5 , Reserved for : ST(G), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Jogallamba,Alampur
1,YERUKALI DEVANNA,TRS,0,Unanimous ,Jogallamba,Alampur
"WARD Name : 6 , Reserved for : UR(W), Total Voters in Municipality Ward : 957 , Total Vaild Votes : 734 , Rejected Votes : 16 , NOTA Votes : 2",,,,,Jogallamba,Alampur
1,RAMA DEVI,TRS,244,,Jogallamba,Alampur
2,LALITHAMMA,INC,142,,Jogallamba,Alampur
3,R SUSHMA,AIFB,263,Elected,Jogallamba,Alampur
4,KURVA PADMA,IND,1,,Jogallamba,Alampur
5,H S RAVALIKA,IND,64,,Jogallamba,Alampur
6,LAXMI DEVI,IND,20,,Jogallamba,Alampur
"WARD Name : 7 , Reserved for : BC(W), Total Voters in Municipality Ward : 893 , Total Vaild Votes : 688 , Rejected Votes : 13 , NOTA Votes : 7",,,,,Jogallamba,Alampur
1,PADMAVATHI,INC,294,,Jogallamba,Alampur
2,PINDI RENUKA DEVI,BJP,17,,Jogallamba,Alampur
3,SHAKINABI,TRS,311,Elected,Jogallamba,Alampur
4,K VARALAXMI,IND,66,,Jogallamba,Alampur
"WARD Name : 8 , Reserved for : UR(W), Total Voters in Municipality Ward : 820 , Total Vaild Votes : 654 , Rejected Votes : 9 , NOTA Votes : 2",,,,,Jogallamba,Alampur
1,ULCHALA SAROJAMMA,TRS,295,Elected,Jogallamba,Alampur
2,BHAGYAMMA,AIFB,223,,Jogallamba,Alampur
3,P MANJULA,INC,136,,Jogallamba,Alampur
"WARD Name : 9 , Reserved for : BC(G), Total Voters in Municipality Ward : 912 , Total Vaild Votes : 742 , Rejected Votes : 14 , NOTA Votes : 3",,,,,Jogallamba,Alampur
1,GULHAR IRSHAD,AIFB,161,,Jogallamba,Alampur
2,RAGHAVENDRA,BJP,39,,Jogallamba,Alampur
3,LAXMANNA,INC,13,,Jogallamba,Alampur
4,SEKHAR REDDY,TRS,528,Elected,Jogallamba,Alampur
5,P PEERAN BEE,IND,1,,Jogallamba,Alampur
"WARD Name : 10 , Reserved for : UR(G), Total Voters in Municipality Ward : 843 , Total Vaild Votes : 621 , Rejected Votes : 17 , NOTA Votes : 3",,,,,Jogallamba,Alampur
1,CHENCHANNA,AIFB,98,,Jogallamba,Alampur
2,K NAGAMADDILETI,BJP,40,,Jogallamba,Alampur
3,MOHD IRFAN,INC,123,,Jogallamba,Alampur
4,A G SUDARSHAN GOUD,TRS,215,Elected,Jogallamba,Alampur
5,JAFAR,IND,37,,Jogallamba,Alampur
6,VENU,IND,108,,Jogallamba,Alampur
"WARD Name : 1 , Reserved for : BC(G), Total Voters in Municipality Ward : 792 , Total Vaild Votes : 643 , Rejected Votes : 10 , NOTA Votes : 0",,,,,Karminagar,Kothapally
1,VASALA RAMESH,TRS,472,Elected,Karminagar,Kothapally
2,KATLA SUDHAKAR,IND,164,,Karminagar,Kothapally
3,SRIPATHI NARESH,IND,7,,Karminagar,Kothapally
"WARD Name : 2 , Reserved for : UR(W), Total Voters in Municipality Ward : 885 , Total Vaild Votes : 644 , Rejected Votes : 1 , NOTA Votes : 3",,,,,Karminagar,Kothapally
1,BANDA RADHA,TRS,459,Elected,Karminagar,Kothapally
2,MALATHI DEVA,INC,185,,Karminagar,Kothapally
"WARD Name : 3 , Reserved for : SC(G), Total Voters in Municipality Ward : 777 , Total Vaild Votes : 572 , Rejected Votes : 6 , NOTA Votes : 5",,,,,Karminagar,Kothapally
1,KAVVAMPELLI ANJAIAH,CPM,6,,Karminagar,Kothapally
2,GUDIPAKA RAMULU,BJP,15,,Karminagar,Kothapally
3,GONE RAMASWAMY,INC,196,,Karminagar,Kothapally
4,JERRIPOTHULA MONDAIAH,TRS,302,Elected,Karminagar,Kothapally
5,KARAM RAVI PRASAD,IND,3,,Karminagar,Kothapally
6,JANGAPELLY MALLESHAM,IND,50,,Karminagar,Kothapally
"WARD Name : 4 , Reserved for : SC(W), Total Voters in Municipality Ward : 735 , Total Vaild Votes : 558 , Rejected Votes : 10 , NOTA Votes : 4",,,,,Karminagar,Kothapally
1,ULLENDULA SHIRISHA RANI,INC,158,,Karminagar,Kothapally
2,ERROLLA SWAROOPA,BJP,113,,Karminagar,Kothapally
3,KOMMU RENUKA,AIFB,13,,Karminagar,Kothapally
4,JERIPOTHULA ANJALI,TRS,213,Elected,Karminagar,Kothapally
5,ERROLLA LAHARI,IND,2,,Karminagar,Kothapally
6,GONE RENUKA,IND,59,,Karminagar,Kothapally
"WARD Name : 5 , Reserved for : ST(G), Total Voters in Municipality Ward : 907 , Total Vaild Votes : 684 , Rejected Votes : 9 , NOTA Votes : 6",,,,,Karminagar,Kothapally
1,MANUPATI VENU GOPAL,TRS,350,Elected,Karminagar,Kothapally
2,SRINIVAS KUTATI,INC,288,,Karminagar,Kothapally
3,SAMMAIAH BIJILI,BJP,40,,Karminagar,Kothapally
4,KUTHATI ELLAIAH,IND,6,,Karminagar,Kothapally
"WARD Name : 6 , Reserved for : UR(W), Total Voters in Municipality Ward : 893 , Total Vaild Votes : 688 , Rejected Votes : 5 , NOTA Votes : 0",,,,,Karminagar,Kothapally
1,PENTI SUJATHA,BJP,24,,Karminagar,Kothapally
2,VIJAYA GUNNALA,INC,336,Elected,Karminagar,Kothapally
3,SYED SHAKER BANO,TRS,320,,Karminagar,Kothapally
4,BOOSA ALIVELI MANGA RANI,IND,8,,Karminagar,Kothapally
"WARD Name : 7 , Reserved for : UR(G), Total Voters in Municipality Ward : 793 , Total Vaild Votes : 596 , Rejected Votes : 6 , NOTA Votes : 3",,,,,Karminagar,Kothapally
1,PAIDLA SWETHA,BJP,13,,Karminagar,Kothapally
2,RUDRA RAJU,TRS,518,Elected,Karminagar,Kothapally
3,SRINIVAS KUMAR GADDAM,INC,65,,Karminagar,Kothapally
"WARD Name : 8 , Reserved for : UR(W), Total Voters in Municipality Ward : 733 , Total Vaild Votes : 590 , Rejected Votes : 9 , NOTA Votes : 0",,,,,Karminagar,Kothapally
1,KENCHA MALLAMMA,BJP,202,,Karminagar,Kothapally
2,SYED NAZIYA,TRS,275,Elected,Karminagar,Kothapally
3,AZMATH SULTHANA,IND,113,,Karminagar,Kothapally
"WARD Name : 9 , Reserved for : UR(W), Total Voters in Municipality Ward : 821 , Total Vaild Votes : 676 , Rejected Votes : 5 , NOTA Votes : 3",,,,,Karminagar,Kothapally
1,PADMA MUTHUNOORI,BJP,26,,Karminagar,Kothapally
2,YASWADA KAVITHA,INC,188,,Karminagar,Kothapally
3,SWARGAM VAJRA DEVI,TRS,226,Elected,Karminagar,Kothapally
4,CHANDRAPALKALA NEERAJA,IND,120,,Karminagar,Kothapally
5,NERELLA RAJITHA,IND,116,,Karminagar,Kothapally
"WARD Name : 10 , Reserved for : BC(G), Total Voters in Municipality Ward : 855 , Total Vaild Votes : 717 , Rejected Votes : 6 , NOTA Votes : 2",,,,,Karminagar,Kothapally
1,GULLAPELLI MALLIKHARJUN,BJP,231,,Karminagar,Kothapally
2,GANDU RAMBABU,TRS,286,Elected,Karminagar,Kothapally
3,BOGA ANITHA,INC,13,,Karminagar,Kothapally
4,ALUVALA SRIDHAR,IND,11,,Karminagar,Kothapally
5,BOGA SRINIVAS,IND,0,,Karminagar,Kothapally
6,SUNKE SATHYANARAYANA,IND,169,,Karminagar,Kothapally
7,SUNKE RAJU,IND,7,,Karminagar,Kothapally
"WARD Name : 11 , Reserved for : UR(G), Total Voters in Municipality Ward : 744 , Total Vaild Votes : 631 , Rejected Votes : 6 , NOTA Votes : 1",,,,,Karminagar,Kothapally
1,KUMAR DUBBASI,INC,11,,Karminagar,Kothapally
2,CHINTHALA SATHYANARAYANA,TRS,247,Elected,Karminagar,Kothapally
3,SRINIVAS REDDY CHINTHALA,BJP,36,,Karminagar,Kothapally
4,UMMANTHALA LAXMAREDDY,IND,176,,Karminagar,Kothapally
5,MD KHAJA KHAN,IND,57,,Karminagar,Kothapally
6,DANUKA PRAVEEN,IND,104,,Karminagar,Kothapally
"WARD Name : 12 , Reserved for : BC(W), Total Voters in Municipality Ward : 730 , Total Vaild Votes : 606 , Rejected Votes : 3 , NOTA Votes : 3",,,,,Karminagar,Kothapally
1,VEMULA KAVITHA,TRS,507,Elected,Karminagar,Kothapally
2,KATLA MAMATHA,IND,49,,Karminagar,Kothapally
3,PEDDI MAMATHA,IND,50,,Karminagar,Kothapally
"WARD Name : 1 , Reserved for : UR(G), Total Voters in Municipality Ward : 4555 , Total Vaild Votes : 3271 , Rejected Votes : 68 , NOTA Votes : 13",,,,,Karminagar,Karminagar
1,Aitham Anjaiah,TDP,4,,Karminagar,Karminagar
2,Uppunuti Srinivas,CPM,5,,Karminagar,Karminagar
3,Karra Ravinder Reddy,INC,63,,Karminagar,Karminagar
4,Kolagani Srinivas,BJP,1713,Elected,Karminagar,Karminagar
5,Dasari Sagar,TRS,1415,,Karminagar,Karminagar
6,Kota Bhaskar,IND,33,,Karminagar,Karminagar
7,Thota Anjaiah,IND,19,,Karminagar,Karminagar
8,Mateti Srujana,IND,9,,Karminagar,Karminagar
9,Velumula Arun Kumar,IND,10,,Karminagar,Karminagar
"WARD Name : 2 , Reserved for : BC(W), Total Voters in Municipality Ward : 5240 , Total Vaild Votes : 3603 , Rejected Votes : 51 , NOTA Votes : 13",,,,,Karminagar,Karminagar
1,Kashetty Latha,BJP,679,,Karminagar,Karminagar
2,Kashetty Lavanya,TRS,1496,Elected,Karminagar,Karminagar
3,Sadineni Lavanya,AIFB,1252,,Karminagar,Karminagar
4,Soundarya YAma,INC,49,,Karminagar,Karminagar
5,Vodnala Swapna,IND,109,,Karminagar,Karminagar
6,Haseena,IND,18,,Karminagar,Karminagar
"WARD Name : 3 , Reserved for : SC(G), Total Voters in Municipality Ward : 4535 , Total Vaild Votes : 2870 , Rejected Votes : 56 , NOTA Votes : 16",,,,,Karminagar,Karminagar
1,Kamsala Srinivas,TRS,1255,Elected,Karminagar,Karminagar
2,Kompelli Sagar,CPM,21,,Karminagar,Karminagar
3,Jeedi Ramesh,INC,39,,Karminagar,Karminagar
4,Sunchu Srinivas,AIFB,427,,Karminagar,Karminagar
5,Somidi Venu Prasad,BJP,1035,,Karminagar,Karminagar
6,Thandrala Shankar Babu,IND,89,,Karminagar,Karminagar
7,Mahesh Manda,IND,4,,Karminagar,Karminagar
"WARD Name : 4 , Reserved for : BC(G), Total Voters in Municipality Ward : 4986 , Total Vaild Votes : 3171 , Rejected Votes : 32 , NOTA Votes : 3",,,,,Karminagar,Karminagar
1,Jamal Mohammed,BJP,12,,Karminagar,Karminagar
2,Nuzhath Farheen,AIMIM,1846,Elected,Karminagar,Karminagar
3,Mohammad Areef Ahmed,AIFB,1106,,Karminagar,Karminagar
4,Shaik Mujeeb Ahmed,TRS,73,,Karminagar,Karminagar
5,Saleha,INC,127,,Karminagar,Karminagar
6,Mohammad Asifuddin,IND,2,,Karminagar,Karminagar
7,Shaik Raheemuddin,IND,5,,Karminagar,Karminagar
"WARD Name : 5 , Reserved for : BC(W), Total Voters in Municipality Ward : 4731 , Total Vaild Votes : 3148 , Rejected Votes : 31 , NOTA Votes : 6",,,,,Karminagar,Karminagar
1,Zahara Banu,AIMIM,1428,Elected,Karminagar,Karminagar
2,Shabana MEhammad,INC,47,,Karminagar,Karminagar
3,Sameena,TDP,36,,Karminagar,Karminagar
4,Sameena Tarannum,TRS,103,,Karminagar,Karminagar
5,Asma Nousheen,IND,17,,Karminagar,Karminagar
6,Amena Begum,IND,163,,Karminagar,Karminagar
7,Chand Sulthana,IND,618,,Karminagar,Karminagar
8,Siddiqa Begim,IND,0,,Karminagar,Karminagar
9,Heena Afreen,IND,736,,Karminagar,Karminagar
"WARD Name : 6 , Reserved for : BC(W), Total Voters in Municipality Ward : 4185 , Total Vaild Votes : 2801 , Rejected Votes : 27 , NOTA Votes : 14",,,,,Karminagar,Karminagar
1,KOLA MALATHI,TRS,1242,Elected,Karminagar,Karminagar
2,Bommarathi Vasantha,BJP,619,,Karminagar,Karminagar
3,Mengani Mounika,IND,7,,Karminagar,Karminagar
4,Sadaveni Sujatha,IND,932,,Karminagar,Karminagar
5,Sunkari Krishnaveni,IND,1,,Karminagar,Karminagar
"WARD Name : 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 5012 , Total Vaild Votes : 3280 , Rejected Votes : 30 , NOTA Votes : 9",,,,,Karminagar,Karminagar
1,Akula Padma,TRS,1006,Elected,Karminagar,Karminagar
2,Padma Rani Rodda,AIFB,422,,Karminagar,Karminagar
3,Sumalatha Madasu,BJP,324,,Karminagar,Karminagar
4,Katta Srilatha,IND,24,,Karminagar,Karminagar
5,Gaddam Padma,IND,4,,Karminagar,Karminagar
6,Bandi Mamatha,IND,543,,Karminagar,Karminagar
7,Rajani Sama,IND,178,,Karminagar,Karminagar
8,Vade Ramadevi,IND,779,,Karminagar,Karminagar
"WARD Name : 8 , Reserved for : BC(W), Total Voters in Municipality Ward : 5042 , Total Vaild Votes : 4235 , Rejected Votes : 59 , NOTA Votes : 11",,,,,Karminagar,Karminagar
1,Itham Lavanya,INC,118,,Karminagar,Karminagar
2,Bonthala Mounika,BJP,91,,Karminagar,Karminagar
3,Sharada Salla,TRS,2086,Elected,Karminagar,Karminagar
4,Kalva Swapna,IND,1937,,Karminagar,Karminagar
5,Punnam Radha,IND,3,,Karminagar,Karminagar
"WARD Name : 9 , Reserved for : BC(G), Total Voters in Municipality Ward : 5504 , Total Vaild Votes : 3911 , Rejected Votes : 32 , NOTA Votes : 12",,,,,Karminagar,Karminagar
1,Katla Vidhya,TRS,654,,Karminagar,Karminagar
2,Gadapa Ajay Kumar,INC,25,,Karminagar,Karminagar
3,Jangili Illender Yadav,AIFB,1056,Elected,Karminagar,Karminagar
4,Masam Ganesh,BJP,584,,Karminagar,Karminagar
5,Nallagonda Srinivas,IND,25,,Karminagar,Karminagar
6,Padishetti Bhoomaiah,IND,916,,Karminagar,Karminagar
7,Pasupuleti Shivanandam,IND,617,,Karminagar,Karminagar
8,Vasam Ravikumar,IND,34,,Karminagar,Karminagar
"WARD Name : 10 , Reserved for : BC(G), Total Voters in Municipality Ward : 5739 , Total Vaild Votes : 3450 , Rejected Votes : 38 , NOTA Votes : 31",,,,,Karminagar,Karminagar
1,KASARLA ANAND KUMAR,BJP,1724,Elected,Karminagar,Karminagar
2,NALUVALA RAVINDER,TRS,1626,,Karminagar,Karminagar
3,PAIDIPALLY RAJENDRAPRASAD,CPI,65,,Karminagar,Karminagar
4,THEETY SUDHAAR RAO,IND,6,,Karminagar,Karminagar
5,BOLLI RAVI,IND,17,,Karminagar,Karminagar
6,VERAMALLA CHANDRAIAH,IND,12,,Karminagar,Karminagar
"WARD Name : 11 , Reserved for : BC(W), Total Voters in Municipality Ward : 4917 , Total Vaild Votes : 3228 , Rejected Votes : 48 , NOTA Votes : 15",,,,,Karminagar,Karminagar
1,AKULA NARMADA,AIFB,1619,Elected,Karminagar,Karminagar
2,THOTA SUNITHA,TRS,912,,Karminagar,Karminagar
3,BYRI CHANDRAKALA,BJP,420,,Karminagar,Karminagar
4,ANIVENI RUTHU,IND,12,,Karminagar,Karminagar
5,VUPPULA BHAGYALAXMI,IND,5,,Karminagar,Karminagar
6,GUNDA SANDHYA RANI,IND,82,,Karminagar,Karminagar
7,RANAVENI KAVITHA,IND,178,,Karminagar,Karminagar
"WARD Name : 12 , Reserved for : UR(G), Total Voters in Municipality Ward : 4197 , Total Vaild Votes : 2168 , Rejected Votes : 10 , NOTA Votes : 14",,,,,Karminagar,Karminagar
1,GADDAM VILASA REDDY,INC,175,,Karminagar,Karminagar
2,THOTA RAMULU,TRS,1168,Elected,Karminagar,Karminagar
3,MANJULAVANI SANDEVENA,BJP,803,,Karminagar,Karminagar
4,KOLIPAKA KANAKARAJU,IND,1,,Karminagar,Karminagar
5,PULIMATI SANTHOSH,IND,21,,Karminagar,Karminagar
"WARD Name : 13 , Reserved for : UR(G), Total Voters in Municipality Ward : 4960 , Total Vaild Votes : 3133 , Rejected Votes : 16 , NOTA Votes : 6",,,,,Karminagar,Karminagar
1,choppari Jayasri,BJP,1651,Elected,Karminagar,Karminagar
2,Mohammad Abdul Nawaz,INC,35,,Karminagar,Karminagar
3,A.V. Ramana,TRS,1420,,Karminagar,Karminagar
4,Jyothi Mekala,IND,11,,Karminagar,Karminagar
5,Thuniki Balarajuj,IND,8,,Karminagar,Karminagar
6,Bhukhya Raja Ram das,IND,8,,Karminagar,Karminagar
"WARD Name : 14 , Reserved for : BC(G), Total Voters in Municipality Ward : 4726 , Total Vaild Votes : 2845 , Rejected Votes : 11 , NOTA Votes : 8",,,,,Karminagar,Karminagar
1,Azeem Mohammad,INC,111,,Karminagar,Karminagar
2,Gannagoni Kranthikumar,BJP,845,,Karminagar,Karminagar
3,Dindigala Mahesh,TRS,1477,Elected,Karminagar,Karminagar
4,Abdul Hakeem Mohammad,IND,375,,Karminagar,Karminagar
5,Chennamadhavuni Vamshi krishna,IND,1,,Karminagar,Karminagar
6,Janga Sharadha,IND,22,,Karminagar,Karminagar
7,Penta Srinivas,IND,8,,Karminagar,Karminagar
8,Bandi Srinivas,IND,6,,Karminagar,Karminagar
"WARD Name : 15 , Reserved for : UR(W), Total Voters in Municipality Ward : 4931 , Total Vaild Votes : 2974 , Rejected Votes : 19 , NOTA Votes : 15",,,,,Karminagar,Karminagar
1,Jayalaxmi Nagasamudram,BJP,1055,Elected,Karminagar,Karminagar
2,Lavanya Bathini,INC,166,,Karminagar,Karminagar
3,Varala Sujatha,TRS,876,,Karminagar,Karminagar
4,vodnala Vijaya,AIFB,20,,Karminagar,Karminagar
5,Kamboja Sravathi,IND,43,,Karminagar,Karminagar
6,Guntuka Radhika,IND,6,,Karminagar,Karminagar
7,Thella Laxmi,IND,576,,Karminagar,Karminagar
8,Doolam Radhika,IND,19,,Karminagar,Karminagar
9,Penta Swarupa,IND,201,,Karminagar,Karminagar
10,Rajoori Latha,IND,12,,Karminagar,Karminagar
